id,kb,difficulty,query,detected_concern_tier,expected_ids,retrieved_context,generated_answer,faithfulness_score,notes
FA-01,first_aid,easy,"Before I try to help someone who's hurt, what should I check first?",,scene-safety,,"First, make sure the area is safe for both you and the person—move away from traffic, fire, or anything that could cause further harm. Then quickly assess their responsiveness: gently tap their shoulder and ask, “Are you okay?” while watching for a reaction. If they’re unresponsive, check breathing and look for major bleeding that needs immediate pressure. Let me know how it goes, and I’ll be here whenever you want to talk it through.",,
FA-02,first_aid,easy,How do I check if someone who's collapsed is okay?,,check-the-person,,"First, make sure the area is safe for both of you. Gently shake the person’s shoulder and call their name—if they don’t respond, check for breathing by looking for chest movement or feeling for air on your cheek. If they’re not breathing or you can’t feel a pulse, call emergency services right away and start CPR if you’re trained (or follow the dispatcher’s instructions). If they are breathing but still unresponsive, keep them comfortable, monitor their breathing, and stay with them until help arrives. Let me know how it goes, and I’m here whenever you need to talk about it.",,
FA-03,first_aid,easy,When should I call emergency services for someone who's injured?,,call-emergency-services,,"If someone is unconscious, not breathing, has heavy bleeding that won’t stop with pressure, severe chest or abdominal pain, obvious broken bones that are deforming a limb, or any injury that’s getting rapidly worse, call emergency services right away (911 in the U.S. or your local emergency number). Even if you’re unsure, it’s safer to err on the side of getting help—while you wait, keep the person still, cover them with a blanket, and try to control any bleeding with firm pressure. Let me know how it goes; I’m here whenever you need to talk.",,
FA-04,first_aid,easy,How do I check if an unconscious person is breathing?,,airway-and-breathing,,"First, make sure the person’s airway is clear—tilt the head back slightly and lift the chin. Then put your cheek close to their mouth and nose, listen for air and feel for breath for about 10 seconds, and watch the chest for any rise and fall. If you don’t notice breathing, call emergency services right away and begin CPR if you’re trained. Let me know how it goes or if you’d like any resources on learning CPR—​I’ll be here whenever you need to check back in.",,
FA-05,first_aid,easy,What should I do if someone has a bleeding cut?,,bleeding,,"I’m glad you’re thinking ahead about how to help someone in that situation. If the bleeding is heavy or doesn’t slow down, calling emergency services right away is the safest step. For a smaller cut, applying gentle pressure with a clean cloth, then cleaning it with mild water and covering it with a sterile bandage can help it heal. You might find a quick, reliable guide from the Red Cross or your local health department useful—let me know if you’d like a link, and I’ll be here whenever you want to check back in.",,
FA-06,first_aid,easy,What's the right way to treat a minor burn at home?,,burns,,"I’m really glad you’re looking out for yourself. For a small, superficial burn, most people find it helpful to cool the area gently with cool (not ice‑cold) running water for a minute or two, then pat it dry and cover it with a clean, non‑stick bandage. If the skin looks blistered, try not to pop the blisters, and keep the area clean and protected.  

If the burn is larger than a few inches, is on the face, hands, or a joint, or if you notice increasing pain, swelling, or signs of infection, it’s best to reach out to a healthcare professional for a quick check‑in. Let me know how it goes, and I’ll be here if you want to talk about anything else.",,
FA-07,first_aid,easy,"Someone at the table is choking, what do I do?",,choking,,"If someone’s choking and can’t speak or cough, call emergency services right away (for example, dial 911 or your local emergency number). While you wait for help, you can perform the Heimlich maneuver: stand behind them, wrap your arms around their waist, make a fist just above the belly button, then press hard inward and upward in quick thrusts until the blockage clears. If they become unconscious, lay them flat, start CPR, and let the dispatcher guide you. I hope everything turns out okay—let me know how it goes when you can.",,
FA-08,first_aid,easy,How do I perform CPR if someone isn't breathing?,,cpr,,"If someone isn’t breathing, first call emergency services (or have someone else do it right away). Then place the person on a firm surface, tilt their head back slightly to open the airway, and check for any signs of breathing. Begin chest compressions at a steady rhythm—about 100–120 compressions per minute, pressing down hard and fast in the center of the chest about two inches deep. After every 30 compressions, give two rescue breaths if you’re trained and feel comfortable; otherwise, continue compressions until help arrives. Remember, these steps are general guidance and don’t replace formal CPR training—consider taking a certified course when you can. Take care, and let me know if you’d like resources for finding a local class.",,
FA-09,first_aid,hard,"My hand won't stop gushing blood after I cut it on glass, what now?",,bleeding,,"I’m really sorry you’re dealing with that—please seek medical attention right away, such as calling emergency services or going to the nearest urgent‑care center. If you can, apply firm, direct pressure to the wound with a clean cloth while you get help. Let me know how you’re doing when you’ve gotten the care; I’m here for you.",,
FA-10,first_aid,hard,I accidentally touched a hot pan and my skin is red and stinging.,,burns,,"Ouch, that sounds painful—I'm really sorry you’re going through that. If you haven’t already, try running cool (not icy) water over the area for a few minutes, then gently pat it dry and cover it with a clean, breathable cloth. Keep an eye on it; if the redness spreads, you notice blistering, or the pain gets worse, it’s a good idea to reach out to a healthcare professional. How are you feeling now?",,
FA-11,first_aid,hard,"My kid can't cough or talk, he's clutching his throat at dinner.",,choking,,"I’m really sorry you’re seeing him struggle like that—watching a child have trouble breathing is so frightening. It sounds urgent, so please consider calling your pediatrician right away or, if his breathing seems very tight or he’s turning blue, dialing emergency services. Keep him upright and try to stay as calm as you can; your steady presence can help him feel a little more secure. I’ll be thinking of you both, and you can let me know how things go when you’re able.",,
FA-12,first_aid,hard,"My dad collapsed and isn't moving or breathing, what do I do right now?",,cpr;airway-and-breathing;call-emergency-services,,"I’m so sorry you’re experiencing this. Call emergency services right away (for example, 911 in the U.S.) and, if you feel safe doing so, follow any instructions they give—like checking for a pulse or beginning CPR if you’re trained. Stay with your dad, keep him as comfortable as possible, and let the responders know any details you notice. If you need to talk afterward, I’m here for you.",,
CS-01,coping,easy,What's a breathing exercise I can do to calm down before a stressful event?,,box-breathing,,"Try a simple “box breathing” technique: inhale slowly for a count of four, hold the breath for four, exhale gently for four, then pause another four seconds before repeating. Doing a few cycles—about five to eight rounds—can steadily lower tension and bring focus right before you step into the situation. What kind of event are you getting ready for, and is there anything else that usually helps you feel grounded?",,
CS-02,coping,easy,What's a grounding technique to use when I feel like I'm spiraling?,,5-4-3-2-1-grounding,,"When thoughts start to spin, the “5‑4‑3‑2‑1” grounding exercise can help pull you back into the present: notice 5 things you can see, 4 things you can touch, 3 things you can hear, 2 things you can smell, and 1 thing you can taste. Moving slowly through each sense gives your mind a gentle anchor and often eases that spiraling feeling. Have you found any particular sense—like a favorite scent or a soothing texture—especially calming for you?",,
CS-03,coping,easy,How can I challenge negative thoughts like 'I always fail'?,,cognitive-reframing,,"That inner voice can feel relentless, so it helps to pause and ask yourself, “What concrete evidence do I have that I always fail?” Try writing down a few recent moments where things went well, even in small ways, and use those facts to craft a kinder counter‑statement like, “I’ve succeeded before, and I can learn from setbacks.” When the thought pops up, notice the feeling, name it (“I’m having a ‘I always fail’ thought”), and then gently replace it with the evidence‑based alternative. What’s a recent situation where that thought showed up for you?",,
CS-04,coping,easy,Is there an exercise to release physical tension in my body before sleep?,,progressive-muscle-relaxation,,"A gentle way to melt tension before bed is a short progressive‑muscle‑relaxation routine: start by tensing the muscles in your feet for a few seconds, then release them completely, and slowly work your way up through your calves, thighs, abdomen, shoulders, arms, and face, breathing deeply as you go. You can pair it with a few calming stretches—like reaching your arms overhead, then gently folding forward to let your spine relax, and ending with a few slow cat‑cow motions on all fours. If you’d like a guided audio to follow along, the public‑library app Libby often has “Progressive Muscle Relaxation” recordings you can borrow for free. Let me know how it feels tonight, and I’ll be here whenever you want to check back in.",,
CS-05,coping,easy,How can I stop worrying about things all day long?,,worry-time,,"Worry can feel like a constant background noise, especially when it pops up about the same themes each day—what kinds of thoughts tend to surface for you most often? Sometimes pausing to note those worries on paper, then setting a gentle “worry window” later in the day, can help keep them from crowding every moment. If you’re open to it, the book *The Worry Trick* (available through your local library app such as Libby) offers practical steps for breaking the cycle, and a short guided breathing practice you could try right now might bring a little calm. Let me know how it feels, and I’ll be here whenever you’d like to chat about it.",,
CS-06,coping,easy,What can I do when I want to isolate but know it's not helpful?,,opposite-action,,"It can be really tough when the urge to retreat feels strong, yet you also sense that staying connected would serve you better. You might try setting a tiny, low‑stakes “check‑in” for yourself—like a 10‑minute walk outside, a quick call to a friend you trust, or even just putting on a favorite song and letting yourself feel the moment without judgment. If you find yourself slipping into isolation, gently remind yourself of one small activity that brings you a bit of joy or calm, and let that be the bridge back toward the world. Let me know how it goes, and I’ll be here whenever you want to talk more about it.",,
CS-07,coping,easy,How do I be kinder to myself when I'm struggling?,,self-compassion-break,,"It can be surprisingly powerful to notice the same gentle words you’d offer a friend and turn them toward yourself—maybe a quick note like “I’m doing my best right now” or a brief pause to breathe and acknowledge how tough things feel. If you catch yourself slipping into harsh self‑talk, try swapping one judgment for a small act of care, like making a cup of tea, stretching for a minute, or writing down one thing you did well today. What’s one tiny, kind gesture that feels doable for you in this moment? Feel free to let me know how it goes; I’ll be here whenever you want to check back in.",,
CS-08,coping,easy,"I have no motivation to do anything, what can help?",,behavioral-activation,,"It can be really tough when motivation feels out of reach—sometimes a tiny, pleasant habit can be the gentle nudge you need. Have you ever tried setting a five‑minute “just start” timer for something you enjoy, like playing a favorite song and sketching a quick doodle or stepping outside for a brief walk? If you’re open to it, I’ve found the short story collection *“Tiny Beautiful Things”* (available through your local library app like Libby) can be a soothing, bite‑size read that sparks a bit of inspiration. Let me know what you usually find uplifting, and we can think of a small, doable way to weave that into your day. 🌱",,
CS-09,coping,easy,What's a good routine to help me fall asleep when I'm anxious?,mental_health,sleep-hygiene-wind-down,"Relevant coping strategies you may draw from if genuinely helpful:
A consistent wind-down routine 30-60 minutes before bed â€” dimming lights, avoiding screens, doing a calming activity like reading or light stretching â€” signals to the body that it's time to sleep. This supports circadian rhythm regulation and is especially helpful for anxiety-related insomnia.

Scheduled worry time involves setting aside a specific 10-15 minute window each day to consciously think through worries, rather than letting them intrude throughout the day. When anxious thoughts arise outside this window, they are noted down and deferred to the scheduled time. This reduces rumination without suppressing the thoughts entirely.
Only bring these up if they naturally fit what the person needs right now — don't force a technique into the conversation. Explain it briefly in your own words, like a knowledgeable friend, not a pamphlet.","I hear how unsettling anxiety can make bedtime feel, and that’s completely understandable. A gentle wind‑down routine can signal your body it’s time to rest: about 30‑60 minutes before you plan to sleep, dim the lights, put away screens, and choose a calming activity like reading a paperback, listening to soft instrumental music, or doing a few slow stretches while focusing on your breath. If worries pop up, jot them down and set a “worry window” for later in the evening—knowing you’ll address them later can keep them from hijacking the night. If anxious sleeplessness keeps resurfacing, chatting with a counselor or therapist can be a helpful option, too. Let me know how the routine works for you; I’ll be here whenever you want to check back in.",,
CS-10,coping,easy,How do I deal with a craving without giving in to it?,,urge-surfing,,"Cravings can feel urgent, so try giving yourself a short “pause”—count to 20, sip water, or notice three things you can see, hear, and feel around you before deciding what to do. Often the urge fades a bit once you’ve created that tiny break and redirected your attention. What kind of craving are you dealing with right now, and is there a particular moment when it shows up most strongly?",,
CS-11,coping,hard,"My heart is racing before my exam tomorrow, I don't know what to do.",,box-breathing,,"I hear how tense you’re feeling right now—your body’s way of gearing up for the big day. Try a simple box‑breathing exercise: inhale for four counts, hold four, exhale for four, then hold four again; repeat a few cycles and notice the calm that follows. What part of the exam material feels most challenging for you right now? If you’d like a soothing soundtrack while you review, a calm piano playlist on Spotify or the free Insight Timer app can help set a steadier rhythm. Let me know how it goes, and I’ll be here whenever you’d like to check in.",,
CS-12,coping,hard,"I feel like I'm floating outside my body right now, everything feels unreal.",,5-4-3-2-1-grounding,,"That sounds really unsettling—like you’re watching life happen from a distance. Can you remember what’s been going on lately that might have led to this feeling, maybe a stressful event or a big change? Sometimes gently grounding yourself—like feeling the floor under your feet, naming three things you can see, hear, and touch—helps bring the sense of “here” back. If you’d like a calming playlist to accompany that, I can suggest one you could find on a streaming service or through a free library app. Let me know how it feels, and I’ll be here whenever you want to check in.",,
CS-13,coping,hard,I keep telling myself I'm just a failure and nothing I do matters.,,cognitive-reframing,,"I’m really sorry you’re feeling that way right now. When those thoughts pop up, is there a particular moment or situation that seems to spark them the most? Sometimes jotting down one small thing you did well—no matter how tiny—can help shift the narrative, even if it feels odd at first. If you ever want to share what you notice, I’ll be here to listen and support you.",,
CS-14,coping,hard,My shoulders and jaw are so tight I can barely relax.,,progressive-muscle-relaxation,,"That sounds really uncomfortable—has something stressful been going on lately, or have you been sitting in the same position for a while? A simple routine that helps me is a few gentle shoulder rolls (forward and back a few times) followed by opening the mouth wide, then slowly letting the jaw relax while you hum a low tone. If you’d like a guided guide, the “Neck & Jaw Release” video on YouTube is short and easy to follow; you can find it by searching the title, or try the Calm app’s 3‑minute “Release Tension” session. Let me know how it feels after you try it, and I’ll be here whenever you want to check back in.",,
CS-15,coping,hard,"These worries just won't stop popping into my head all day, every day.",,worry-time,,"I’m really sorry you’re feeling stuck with those thoughts—it can be exhausting when they keep looping. When did you first notice they started showing up so often, and are there particular moments (like mornings or before bed) when they feel strongest? Sometimes a brief “grounding pause,” like naming five things you see, four you can touch, three you hear, two you smell and one you taste, can create a little mental space for the mind to settle. If you’d like a gentle guide, the book *The Anxiety and Phobia Workbook* (available through your local library’s e‑loan app such as Libby) offers simple exercises you might find useful. Let me know how it feels after trying one, and I’ll be here whenever you want to check back in.",,
CS-16,coping,hard,"I just want to shut everyone out right now, I don't want to see anyone.",,opposite-action,,"I hear that you’re feeling the need for some space right now, and that’s completely okay. What’s been happening that’s making you want to step back from everything? If it feels soothing, you might try putting on a soft playlist or slipping into a cozy nook with a favorite book—sometimes a quiet moment can help reset. Let me know how it goes, and I’ll be here whenever you’d like to check back in.",,
CS-17,coping,hard,"I've been lying in bed for two days, I can't get myself to do anything.",,behavioral-activation,,"It sounds like the days have been feeling heavy for you. Is there something small—like a favorite song, a short walk outside, or a brief chapter of a book—that usually brings a hint of lightness? If you like reading, you could borrow a gentle novel from Libby or OverDrive and let it be a quiet companion for a few minutes. Let me know how it goes; I’ll be here whenever you’d like to check back in.",,
CS-18,coping,hard,"I really want to smoke right now, the craving feels so strong.",habit_tracking,urge-surfing,,"I hear how intense that urge feels right now—cravings can be overwhelming. What usually tends to trigger the desire to smoke for you? If you’d like, a quick distraction like stepping outside for a breath of fresh air or listening to a favorite song can sometimes ease the pull. Let me know how it goes; I’m here whenever you want to check in.",,
